new_genotype,DTS,DTA,Sequencing_ID
Zv.0470_P2_P4_P1.2.1.1,91.79495203,89.14778323,PN16_SID1485
Zv.0470_P2_P5_P1.2.1.1,88.2587951,87.0453408,PN16_SID1487
Zv.0160_P4_P1_P1.1.1.1,88.79242353,86.48411161,PN11_SID1028
Zv.0160_P4_P2_P1.1.1.1,89.20330982,88.35209251,PN11_SID1030
Zv.0160_P4_P3_P1.2.1.1,88.44930018,88.05926645,PN11_SID1031
Zv.0160_P4_P4_P1.1.1.1,90.02869914,89.22368392,PN11_SID1032
Zv.0160_P4_P5_P1.2.1.1,89.88217154,87.62987494,PN11_SID1035
Zv.0190_P3_P1_P1.2.1.1,93.64589609,90.51125392,PN11_SID1037
Zv.0190_P3_P2_P1.1.1.1,87.80854436,86.56572299,PN11_SID1038
Zv.0190_P3_P2_P1.2.1.1,86.79806719,85.83891203,PN11_SID1039
Zv.0190_P3_P5_P1.2.1.1,95.13796705,91.46105121,PN11_SID1041
Zv.0310_P3_P2_P1.2.1.1,89.03785943,88.5727062,PN15_SID1356
Zv.0310_P3_P2_P1.3.1.1,90.76431587,89.29562881,PN15_SID1357
Zv.0310_P3_P4_P1.1.1.1,90.50989896,87.22606611,PN15_SID1359
Zv.0310_P3_P4_P2.1.1.1,89.18243175,88.06892896,PN15_SID1361
Zv.0310_P3_P4_P2.2.1.1,87.52305592,87.08168479,PN15_SID1362
Zv.0310_P3_P5_P1.2.1.1,89.34586816,87.98459932,PN15_SID1363
Zv.0480_P2_P1_P1.1.1.1,84.6949843,84.63110564,PN16_SID1454
Zv.0480_P2_P1_P1.2.1.1,88.49337176,87.31356423,PN16_SID1455
Zv.0480_P2_P1_P2.1.1.1,90.98998255,90.51894098,PN16_SID1456
Zv.0480_P2_P2_P1.2.1.1,86.08523227,86.28326115,PN16_SID1458
Zv.0480_P3_P1_P1.2.1.1,87.44563557,88.23871318,PN16_SID1465
Zv.0480_P3_P2_P1.1.1.1,87.28556957,85.54203136,PN16_SID1466
Zv.0480_P3_P2_P1.2.1.1,85.75450335,84.33515222,PN16_SID1467
Zv.0480_P3_P3_P1.1.1.1,84.34510178,85.27283882,PN16_SID1468
Zv.0480_P3_P4_P1.2.1.1,90.00971218,87.42415822,PN16_SID1471
Zv.0480_P3_P5_P1.1.1.1,85.57173256,84.85423072,PN16_SID1472
Zv.0480_P3_P5_P1.2.1.1,86.39665961,85.78017234,PN16_SID1473
Zv.0490_P4_P1_P1.1.1.1,85.12899082,85.00611433,PN15_SID1438
Zv.0490_P4_P1_P2.1.1.1,88.54420039,87.14985189,PN15_SID1440
Zv.0490_P4_P1_P2.2.1.1,86.65538477,85.74576117,PN16_SID1441
Zv.0490_P4_P2_P1.1.1.1,88.45569959,87.86930102,PN16_SID1442
Zv.0490_P4_P2_P1.2.1.1,89.46256625,89.14413775,PN16_SID1443
Zv.0490_P4_P2_P2.2.1.1,87.37301119,87.0058413,PN16_SID1445
Zv.0490_P4_P3_P1.1.1.1,90.32524076,89.62761667,PN16_SID1446
Zv.0490_P4_P3_P1.2.1.1,88.86655783,87.9914454,PN16_SID1447
Zv.0490_P4_P4_P1.1.1.1,89.52714499,88.51669628,PN16_SID1450
Zv.0490_P4_P4_P1.2.1.1,86.74896862,85.45911539,PN16_SID1451
Zv.0490_P4_P5_P1.2.1.1,88.06998173,87.25378161,PN16_SID1453
Zv.0370_P3_P1_P1.2.1.1,89.047542,87.7614632,PN11_SID1043
Zv.0370_P3_P2_P1.1.1.1,89.14769576,88.09439189,PN11_SID1045
Zv.0370_P3_P2_P2.2.1.1,88.67912047,87.20080578,PN11_SID1048
Zv.0370_P3_P3_P1.1.1.1,88.0870184,86.88577344,PN11_SID1049
Zv.0370_P3_P3_P1.3.1.1,91.00914468,88.86763911,PN11_SID1050
Zv.0370_P3_P3_P2.1.1.1,88.66952754,87.57613904,PN11_SID1051
Zv.0370_P3_P4_P1.2.1.1,87.85254927,86.28286895,PN11_SID1053
Zv.0270_P2_P2_P1.1.1.1,88.69511947,88.46166164,PN15_SID1413
Zv.0270_P2_P2_P1.2.1.1,87.65926416,85.84583175,PN15_SID1414
Zv.0270_P2_P2_P2.1.1.1,89.19633506,86.46254091,PN15_SID1415
Zv.0270_P2_P2_P2.3.1.1,89.6555631,86.76948993,PN15_SID1416
Zv.0270_P2_P3_P2.1.1.1,87.44015393,86.35404551,PN15_SID1417
Zv.0270_P2_P3_P2.2.1.1,86.959857,86.0539174,PN15_SID1418
Zv.0270_P2_P4_P1.1.1.1,85.46344978,87.5275483,PN15_SID1419
Zv.0270_P2_P4_P1.2.1.1,86.98570657,86.41658326,PN15_SID1420
Zv.0270_P2_P5_P1.1.1.1,89.52965349,88.40562323,PN15_SID1421
Zv.0270_P2_P5_P1.2.1.1,83.36263269,84.00771335,PN15_SID1422
Zv.0270_P2_P5_P2.1.1.1,89.39947044,88.19652185,PN15_SID1423
Zv.0010_P3_P1_P1.1.1.1,90.29842152,90.08049502,PN11_SID1021
Zv.0010_P3_P3_P1.2.1.1,89.21120008,90.05671813,PN11_SID1024
Zv.0010_P3_P4_P1.1.1.1,89.59117877,85.72608719,PN11_SID1025
Zv.0010_P3_P4_P1.2.1.1,89.07903379,88.38754811,PN11_SID1026
Zv.0030_P1_P1_P1.1.1.1,90.20817562,89.15658606,PN10_SID867
Zv.0030_P1_P1_P1.2.1.1,85.30152786,86.00020919,PN10_SID868
Zv.0030_P1_P2_P1.2.1.1,90.15051187,89.13847769,PN10_SID870
Zv.0030_P1_P3_P1.1.1.1,87.98064205,87.2870031,PN10_SID871
Zv.0030_P1_P5_P1.1.1.1,95.84329168,96.55360499,PN10_SID873
Zv.0030_P1_P5_P1.2.1.1,92.17444045,91.74635062,PN10_SID874
Zv.0150_P4_P1_P1.2.1.1,85.42457507,85.09262092,PN16_SID1489
Zv.0150_P4_P4_P2.1.1.1,85.43156497,84.5501572,PN16_SID1492
Zv.0150_P4_P5_P1.1.1.1,86.16381897,85.10362055,PN16_SID1494
Zv.0150_P4_P5_P1.2.1.1,87.74339518,85.39282589,PN16_SID1495
Zv.0110_P1_P2_P1.1.1.1,88.62910727,87.55290005,PN12_SID1120
Zv.0110_P1_P2_P1.2.1.1,88.08242631,89.15253651,PN12_SID1121
Zv.0110_P1_P4_P1.1.1.1,88.01149163,86.90465405,PN12_SID1122
Zv.0110_P1_P4_P1.2.1.1,87.78185405,85.50278475,PN12_SID1123
Zv.0280_P1_P1_P1.1.1.1,87.77521164,86.8887322,PN15_SID1390
Zv.0280_P1_P1_P1.2.1.1,85.41639911,85.82882684,PN15_SID1391
Zv.0280_P1_P2_P1.2.1.1,89.47365026,88.88964711,PN15_SID1392
Zv.0280_P1_P3_P1.2.1.1,89.17392943,87.59856055,PN15_SID1394
Zv.0280_P1_P4_P1.2.1.1,89.06018909,87.19176758,PN15_SID1395
Zv.0280_P1_P5_P1.1.1.1,88.68997922,87.35689346,PN15_SID1396
Zv.0280_P1_P5_P1.2.1.1,89.71258696,89.19150312,PN15_SID1397
Zv.0280_P3_P2_P1.2.1.1,88.60145123,86.2289208,PN15_SID1399
Zv.0280_P3_P3_P1.1.1.1,90.03149465,86.64266435,PN15_SID1400
Zv.0280_P3_P3_P1.2.1.1,89.8485696,88.76284756,PN15_SID1401
Zv.0280_P3_P4_P1.2.1.1,89.89473575,87.20513706,PN15_SID1403
Zv.0280_P3_P5_P1.2.1.1,89.7112625,88.03831715,PN15_SID1404
Zv.0260_P2_P1_P2.1.1.1,93.6229786,90.33622687,PN13_SID1177
Zv.0260_P2_P2_P1.2.1.1,93.82751548,92.01143069,PN13_SID1180
Zv.0260_P2_P2_P2.2.1.1,89.30883793,88.35325511,PN13_SID1181
Zv.0260_P2_P3_P1.1.1.1,89.50025285,88.3262586,PN13_SID1182
Zv.0260_P2_P3_P2.2.1.1,89.46912039,88.34685971,PN13_SID1185
Zv.0260_P2_P4_P1.1.1.1,92.32648063,90.85899047,PN13_SID1186
Zv.0260_P2_P5_P1.2.1.1,87.94354685,86.64862701,PN13_SID1189
Zv.0230_P1_P1_P2.1.1.1,87.66571267,85.12741591,PN12_SID1125
Zv.0230_P1_P2_P1.2.1.1,84.95981093,84.74157657,PN12_SID1126
Zv.0230_P1_P2_P2.2.1.1,85.98375209,85.07392903,PN12_SID1127
Zv.0230_P1_P3_P1.1.1.1,88.05095731,88.04303896,PN12_SID1128
Zv.0230_P1_P3_P1.2.1.1,88.44805768,88.58518618,PN12_SID1129
Zv.0230_P1_P3_P2.2.1.1,88.73209954,87.61495132,PN12_SID1130
Zv.0230_P1_P4_P1.1.1.1,93.55270803,91.85749576,PN12_SID1131
Zv.0230_P1_P5_P1.1.1.1,87.7838451,86.62276361,PN12_SID1133
Zv.0230_P1_P5_P2.2.1.1,87.21553433,85.68506886,PN12_SID1136
Zv.0240_P2_P1_P1.1.1.1,94.50140371,93.13601423,PN15_SID1425
Zv.0240_P2_P2_P2.2.1.1,89.09195608,86.62004303,PN15_SID1430
Zv.0240_P2_P3_P1.1.1.1,84.94696141,84.50769571,PN15_SID1431
Zv.0240_P2_P3_P1.2.1.1,92.01777979,89.3416587,PN15_SID1432
Zv.0240_P2_P3_P2.1.1.1,86.81617822,86.42194,PN15_SID1433
Zv.0240_P2_P3_P2.2.1.1,91.98115502,88.07714579,PN15_SID1434
Zv.0240_P2_P4_P1.2.1.1,89.38895874,89.19550662,PN15_SID1435
Zv.0240_P2_P5_P1.2.1.1,90.63966985,88.8846313,PN15_SID1437
Zv.0300_P1_P1_P1.2.1.1,94.23727559,91.82379958,PN15_SID1376
Zv.0300_P1_P1_P2.1.1.1,88.39616514,87.0381342,PN15_SID1377
Zv.0300_P1_P2_P1.2.1.1,87.18050624,85.985494,PN15_SID1380
Zv.0300_P1_P2_P2.1.1.1,88.38869033,87.12970597,PN15_SID1381
Zv.0300_P1_P3_P1.1.1.1,90.58205575,89.8522748,PN15_SID1383
Zv.0300_P1_P3_P1.2.1.1,87.43369732,87.2837449,PN15_SID1384
Zv.0300_P1_P3_P2.1.1.1,88.04889498,85.92246964,PN15_SID1385
Zv.0300_P1_P4_P1.2.1.1,88.54755692,88.24152119,PN15_SID1387
Zv.0300_P1_P5_P1.1.1.1,88.93826049,86.96838751,PN15_SID1388
Zv.0420_P3_P1_P1.1.1.1,86.80041468,86.00367414,PN12_SID1065
Zv.0420_P3_P2_P1.2.1.1,86.96437352,86.29570781,PN12_SID1069
Zv.0420_P3_P2_P2.1.1.1,91.71327026,90.53172296,PN12_SID1070
Zv.0420_P3_P2_P2.2.1.1,91.94669912,88.03848607,PN12_SID1071
Zv.0420_P3_P3_P1.1.1.1,85.64704978,85.49483296,PN12_SID1072
Zv.0420_P3_P3_P1.2.1.1,86.66341084,85.55686552,PN12_SID1073
Zv.0420_P3_P3_P2.1.1.1,86.53890072,86.68670293,PN12_SID1074
Zv.0420_P3_P3_P2.2.1.1,88.45321128,87.2769212,PN12_SID1075
Zv.0420_P3_P4_P2.1.1.1,86.16093873,85.41897447,PN12_SID1077
Zv.0420_P3_P4_P2.2.1.1,86.36323564,86.10338218,PN12_SID1078
Zv.0430_P3_P1_P1.1.1.1,89.96376059,90.79846044,PN10_SID883
Zv.0430_P3_P1_P1.2.1.1,94.43143497,93.76417077,PN10_SID884
Zv.0430_P3_P2_P1.1.1.1,90.38885314,89.95303617,PN10_SID885
Zv.0430_P3_P2_P1.2.1.1,89.99538635,89.07437519,PN10_SID886
Zv.0430_P3_P3_P1.1.1.1,87.78041579,86.32095173,PN10_SID887
Zv.0430_P3_P4_P1.3.1.1,87.96338606,87.61930305,PN10_SID890
Zv.0440_P4_P2_P1.1.1.1,88.84941204,88.11366831,PN10_SID892
Zv.0440_P4_P3_P1.2.1.1,101.4742623,97.47847109,PN10_SID894
Zv.0440_P4_P4_P1.1.1.1,87.03642033,87.13691329,PN10_SID895
Zv.0440_P4_P5_P1.1.1.1,88.38308371,88.3314262,PN10_SID896
Zv.0040_P3_P1_P1.1.1.1,85.45214401,85.3202967,PN10_SID875
Zv.0040_P3_P1_P1.2.1.1,90.16879008,89.88569014,PN10_SID876
Zv.0040_P3_P2_P1.2.1.1,91.28381741,89.7730472,PN10_SID877
Zv.0040_P3_P3_P1.1.1.1,90.56348366,89.85097334,PN10_SID878
Zv.0040_P3_P3_P1.2.1.1,88.83038331,88.77721096,PN10_SID879
Zv.0040_P3_P4_P1.1.1.1,91.28212337,89.46364801,PN10_SID880
Zv.0040_P3_P5_P1.1.1.1,88.27108516,87.15223724,PN10_SID881
Zv.0340_P1_P1_P1.1.1.1,94.28256769,92.77709517,PN11_SID1007
Zv.0340_P1_P1_P1.2.1.1,87.33167868,88.81777739,PN11_SID1008
Zv.0340_P1_P3_P1.2.1.1,90.70123718,90.92846559,PN11_SID1011
Zv.0340_P1_P4_P1.1.1.1,85.25646828,85.31617814,PN11_SID1012
Zv.0340_P1_P4_P1.2.1.1,88.95553028,87.80828455,PN11_SID1013
Zv.0340_P1_P5_P1.1.1.1,87.84854254,86.97793523,PN11_SID1014
Zv.0220_P3_P1_P1.2.1.1,89.5845981,88.42096402,PN13_SID1163
Zv.0220_P3_P1_P2.1.1.1,89.15929359,87.74333664,PN13_SID1164
Zv.0220_P3_P1_P2.2.1.1,91.39784571,89.57299398,PN13_SID1165
Zv.0220_P3_P2_P1.1.1.1,90.46010664,88.50505439,PN13_SID1166
Zv.0220_P3_P2_P1.2.1.1,85.91336987,84.27364828,PN13_SID1167
Zv.0220_P3_P2_P2.1.1.1,90.36643459,88.9356552,PN13_SID1168
Zv.0220_P3_P4_P1.1.1.1,91.86871974,90.12175096,PN13_SID1170
Zv.0220_P3_P4_P1.2.1.1,89.52998382,87.97437385,PN13_SID1171
Zv.0220_P3_P5_P1.2.1.1,89.56351695,88.6100581,PN13_SID1173
Zv.0220_P3_P5_P2.2.1.1,91.90301692,91.07397131,PN13_SID1175
Zv.0210_P1_P2_P1.1.1.1,87.50360038,87.30089418,PN12_SID1150
Zv.0210_P1_P2_P1.2.1.1,95.2092531,93.71350897,PN12_SID1151
Zv.0210_P1_P3_P1.1.1.1,87.56733856,87.62166998,PN12_SID1152
Zv.0210_P1_P3_P1.2.1.1,87.26319311,86.22387592,PN13_SID1153
Zv.0210_P1_P3_P2.1.1.1,89.1496414,88.1910969,PN13_SID1154
Zv.0210_P1_P4_P1.1.1.1,86.07007854,84.6610635,PN13_SID1156
Zv.0210_P1_P4_P1.2.1.1,90.5587913,88.25628485,PN13_SID1157
Zv.0210_P1_P5_P1.1.1.1,88.07958987,88.03815281,PN13_SID1159
Zv.0210_P1_P5_P1.2.1.1,89.56473763,86.62944068,PN13_SID1160
Zv.0410_P2_P3_P2.1.1.1,92.41157048,92.25942542,PN12_SID1084
Zv.0410_P2_P4_P1.2.1.1,93.70226006,92.87323358,PN12_SID1086
Zv.0410_P2_P5_P1.1.1.1,88.16362191,87.67837665,PN12_SID1089
Zx.0140_P2_P1_P1.2.1.1,88.34714771,85.40679356,PN4_SID301
Zx.0140_P2_P2_P1.2.1.1,88.05011033,87.05433819,PN4_SID303
Zx.0140_P2_P3_P1.1.1.1,90.02925452,87.79857264,PN4_SID304
Zx.0150_P2_P1_P1.1.1.1,89.73544656,89.07854943,PN4_SID309
Zx.0150_P2_P1_P1.2.1.1,88.29570385,88.36847284,PN4_SID310
Zx.0150_P2_P2_P1.1.1.1,89.24300665,88.57585016,PN4_SID311
Zx.0150_P2_P4_P1.1.1.1,89.7532051,88.4508974,PN4_SID315
Zx.0150_P2_P4_P1.2.1.1,88.65612409,88.37806038,PN4_SID316
Zx.0150_P2_P5_P1.1.1.1,85.40734434,84.02493838,PN4_SID317
Zx.0220_P2_P5_P1.4.1.1,84.49142788,84.64234259,PN18_SID1640
Zx.0220_P2_P1_P1.2.1.1,92.07983898,91.18719621,PN3_SID238
Zx.0220_P2_P1_P2.1.1.1,91.45350218,91.12294445,PN3_SID239
Zx.0220_P2_P1_P2.3.1.1,89.63816956,88.38206778,PN3_SID240
Zx.0220_P2_P2_P2.3.1.1,92.02888012,92.55355517,PN3_SID242
Zx.0220_P2_P3_P2.2.1.1,88.17450262,85.54602254,PN3_SID245
Zx.0220_P2_P4_P1.1.1.1,87.88423322,88.20562613,PN3_SID246
Zx.0220_P2_P5_P1.1.1.1,90.3752758,88.61645347,PN3_SID247
Zx.0220_P2_P5_P1.2.1.1,89.33577968,87.68371925,PN3_SID248
Zx.0130_P1_P1_P1.1.1.1,86.18722444,86.31210242,PN3_SID250
Zx.0130_P1_P2_P1.1.1.1,83.2324231,83.23635347,PN3_SID251
Zx.0130_P1_P2_P1.2.1.1,86.76664125,88.22314023,PN3_SID252
Zx.0130_P1_P3_P1.1.1.1,91.14350064,90.43410628,PN3_SID253
Zx.0130_P1_P3_P1.2.1.1,86.04920138,85.61400205,PN3_SID254
Zx.0100_P4_P1_P1.1.1.1,89.88276763,87.54568429,PN3_SID220
Zx.0100_P4_P2_P1.2.1.1,88.42942962,87.12453882,PN3_SID223
Zx.0100_P4_P3_P1.2.1.1,91.07017302,87.61128676,PN3_SID225
Zx.0100_P4_P4_P1.1.1.1,89.27670282,88.90688368,PN3_SID226
Zx.0100_P4_P4_P1.2.1.1,85.44918119,85.00048056,PN3_SID227
Zx.0100_P4_P5_P1.2.1.1,85.25793237,85.3081966,PN3_SID229
Zx.0010_P4_P1_P1.2.1.1,86.51469821,86.10112996,PN3_SID230
Zx.0010_P4_P3_P1.1.1.1,88.42923469,86.82746297,PN3_SID231
Zx.0010_P4_P4_P1.1.1.1,87.96276343,87.1268107,PN3_SID233
Zx.0010_P4_P4_P1.2.1.1,83.98627118,83.27309811,PN3_SID234
Zx.0010_P4_P4_P2.1.1.1,84.47907607,84.6639847,PN3_SID235
Zx.0010_P4_P4_P2.4.1.1,88.56671555,87.36372146,PN3_SID237
Zx.0090_P2_P1_P2.2.1.1,90.91879157,89.46981197,PN3_SID280
Zx.0090_P2_P2_P1.1.1.1,85.68356215,84.28434587,PN3_SID281
Zx.0090_P2_P2_P1.2.1.1,87.66877238,86.25563851,PN3_SID282
Zx.0090_P2_P2_P2.1.1.1,84.50905351,83.77604989,PN3_SID283
Zx.0090_P2_P3_P1.2.1.1,90.70654262,88.46333813,PN3_SID285
Zx.0090_P2_P4_P1.1.1.1,87.46449178,85.51343734,PN3_SID286
Zx.0090_P2_P4_P1.2.1.1,89.07598407,88.16727693,PN3_SID287
Zx.0090_P2_P5_P1.1.1.1,86.97306545,85.23602065,PN3_SID288
Zx.0090_P2_P5_P1.2.1.1,89.11817592,87.56096634,PN4_SID289
Zx.0020_P3_P1_P1.3.1.1,89.62583043,86.63914234,PN4_SID333
Zx.0020_P3_P1_P2.1.1.1,89.17679105,87.73395995,PN4_SID334
Zx.0020_P3_P3_P1.2.1.1,89.92661303,89.0575478,PN4_SID336
Zx.0020_P3_P3_P2.2.1.1,86.72125345,85.54069598,PN4_SID337
Zx.0020_P3_P4_P2.2.1.1,86.18087894,85.49036227,PN4_SID339
Zx.0080_P1_P1_P1.1.1.1,91.37269948,87.43520649,PN3_SID256
Zx.0080_P1_P2_P1.1.1.1,90.2646315,88.99657565,PN3_SID257
Zx.0080_P1_P3_P1.1.1.1,87.50791547,85.84831894,PN3_SID259
Zx.0080_P1_P2_P1.4.1.1,89.24223465,87.19255089,PN18_SID1641
Zx.0080_P1_P3_P1.4.1.1,87.56005461,87.24977753,PN18_SID1642
Zx.0190_P2_P5_P1.2.1.1,83.61906385,85.26728915,PN3_SID263
Zx.0340_P2_P1_P1.1.1.1,90.34978802,88.9286342,PN4_SID290
Zx.0340_P2_P1_P1.2.1.1,88.65389927,86.77887414,PN4_SID291
Zx.0340_P2_P1_P2.1.1.1,85.69974855,86.44646928,PN4_SID292
Zx.0340_P2_P1_P2.2.1.1,88.06780644,87.33067751,PN4_SID293
Zx.0340_P2_P1_P1.3.1.1,86.02197265,85.62205152,PN18_SID1645
Zx.0340_P2_P1_P2.4.1.1,91.11128497,89.88975637,PN18_SID1646
Zx.0340_P2_P2_P2.1.1.1,85.14973923,84.88556902,PN4_SID295
Zx.0340_P2_P2_P2.2.1.1,89.14963365,90.65061859,PN4_SID296
Zx.0340_P2_P4_P1.1.1.1,91.15607693,92.71512202,PN4_SID297
Zx.0340_P2_P2_P2.4.1.1,83.13669925,84.21700659,PN18_SID1647
Zx.0030_P2_P1_P1.1.1.1,87.68295459,86.03597783,PN4_SID319
Zx.0030_P2_P1_P2.1.1.1,86.31060932,85.42568188,PN4_SID320
Zx.0030_P2_P1_P2.2.1.1,86.74785823,86.62468637,PN4_SID321
Zx.0030_P2_P2_P2.1.1.1,88.62065508,88.31452733,PN4_SID323
Zx.0030_P2_P2_P2.2.1.1,95.80904701,93.70574001,PN4_SID324
Zx.0030_P2_P3_P1.2.1.1,88.33948221,85.91197835,PN4_SID325
Zx.0030_P2_P4_P1.1.1.1,84.72620818,84.10802441,PN4_SID328
Zx.0030_P2_P4_P1.2.1.1,88.2069357,86.69946471,PN4_SID329
Zx.0160_P2_P1_P1.2.1.1,83.43936619,83.74377693,PN3_SID264
Zx.0160_P2_P1_P2.2.1.1,89.81620103,88.79112335,PN3_SID266
Zx.0160_P2_P2_P1.1.1.1,89.25868799,88.80836772,PN3_SID267
