new_genotype,DTS,DTA,Sequencing_ID
Zv.0200_P3_P2_P1.1.1.1,86.22223071,85.52800562,PN12_SID1091
Zv.0200_P3_P2_P2.2.1.1,90.10079454,87.53833712,PN12_SID1092
Zv.0200_P3_P4_P1.2.1.1,87.4523677,86.32373379,PN12_SID1094
Zv.0200_P3_P5_P1.1.1.1,90.09856495,88.77241031,PN12_SID1096
Zv.0390_P2_P1_P1.1.1.1,90.10778749,90.51881063,PN15_SID1365
Zv.0390_P2_P1_P1.2.1.1,86.28668296,83.88715623,PN15_SID1366
Zv.0390_P2_P2_P1.1.1.1,88.53928639,88.81516257,PN15_SID1367
Zv.0390_P2_P2_P1.2.1.1,86.23900508,86.33574518,PN15_SID1368
Zv.0390_P2_P3_P1.2.1.1,89.23364471,86.75321346,PN15_SID1370
Zv.0390_P2_P3_P2.1.1.1,91.05699784,90.29823366,PN15_SID1371
Zv.0390_P2_P3_P2.2.1.1,90.49827206,88.401504,PN15_SID1372
Zv.0390_P2_P4_P1.2.1.1,89.64879163,87.84576283,PN15_SID1374
Zv.0290_P2_P1_P1.1.1.1,89.37958761,89.44335512,PN12_SID1137
Zv.0290_P2_P1_P1.2.1.1,88.09391663,88.01341848,PN12_SID1138
Zv.0290_P2_P2_P1.1.1.1,87.36792576,85.65744986,PN12_SID1139
Zv.0290_P2_P2_P1.2.1.1,87.90381184,87.01164393,PN12_SID1140
Zv.0290_P2_P2_P2.1.1.1,97.08132606,96.22749876,PN12_SID1141
Zv.0290_P2_P2_P2.2.1.1,90.99887567,90.15253333,PN12_SID1142
Zv.0290_P2_P3_P1.1.1.1,86.09662011,85.50583397,PN12_SID1143
Zv.0290_P2_P3_P1.2.1.1,88.82806683,88.46698298,PN12_SID1144
Zv.0290_P2_P4_P1.1.1.1,87.02212308,85.37844452,PN12_SID1145
Zv.0290_P2_P4_P1.2.1.1,86.19173389,86.48511551,PN12_SID1146
Zv.0290_P2_P4_P2.1.1.1,90.03399605,88.97408191,PN12_SID1147
Zv.0290_P2_P4_P2.2.1.1,90.84881104,90.03568751,PN12_SID1148
Zv.0120_P2_P2_P1.2.1.1,91.23943545,90.27445786,PN12_SID1109
Zv.0120_P2_P2_P2.2.1.1,84.02749403,84.13043302,PN12_SID1110
Zv.0120_P2_P3_P1.1.1.1,86.8486437,86.88929168,PN12_SID1111
Zv.0120_P2_P4_P1.1.1.1,92.30203758,90.84062738,PN12_SID1113
Zv.0120_P2_P4_P1.2.1.1,89.71933014,89.59516229,PN12_SID1114
Zv.0120_P2_P4_P2.1.1.1,86.79433845,85.9665007,PN12_SID1115
Zv.0120_P2_P5_P1.1.1.1,88.66782779,87.39411101,PN12_SID1116
Zv.0120_P2_P5_P2.1.1.1,90.09858391,88.29463113,PN12_SID1118
Zv.0120_P2_P5_P2.2.1.1,87.13257958,86.30367369,PN12_SID1119
Zv.0140_P3_P1_P2.2.1.1,90.63382937,87.12136155,PN13_SID1191
Zv.0140_P3_P2_P1.1.1.1,89.07944839,89.61724822,PN13_SID1192
Zv.0140_P3_P2_P1.2.1.1,89.26653483,87.74160455,PN13_SID1193
Zv.0140_P3_P2_P2.1.1.1,88.37808075,87.11790401,PN13_SID1194
Zv.0140_P3_P5_P2.1.1.1,93.64694567,94.60307258,PN13_SID1197
Zv.0100_P3_P1_P1.2.1.1,87.8207022,86.8144598,PN15_SID1406
Zv.0100_P3_P1_P2.1.1.1,88.38632906,87.23899076,PN15_SID1407
Zv.0100_P3_P4_P1.2.1.1,88.77988797,88.46305115,PN15_SID1410
Zv.0100_P3_P5_P1.1.1.1,87.24360072,86.62575231,PN15_SID1411
Zv.0080_P2_P1_P1.1.1.1,87.03022479,85.70996982,PN12_SID1097
Zv.0080_P2_P1_P1.2.1.1,88.00101131,89.37172027,PN12_SID1098
Zv.0080_P2_P1_P2.2.1.1,89.53908375,87.64573764,PN12_SID1100
Zv.0080_P2_P3_P1.1.1.1,89.41086515,87.02462849,PN12_SID1101
Zv.0080_P2_P3_P1.2.1.1,87.66177143,88.2545759,PN12_SID1102
Zv.0080_P2_P4_P1.1.1.1,87.65069123,87.47278622,PN12_SID1103
Zv.0080_P2_P4_P2.2.1.1,88.10841095,86.91835915,PN12_SID1106
Zv.0080_P2_P5_P1.3.1.1,89.35412613,87.96705541,PN12_SID1108
Zv.0070_P4_P1_P1.1.1.1,85.32365888,84.23564559,PN11_SID1054
Zv.0070_P4_P2_P1.1.1.1,88.99637222,87.61802426,PN11_SID1056
Zv.0070_P4_P2_P2.1.1.1,87.26359794,86.76446927,PN12_SID1058
Zv.0070_P4_P4_P1.1.1.1,89.4198842,90.54204782,PN12_SID1059
Zv.0070_P4_P4_P2.1.1.1,85.4718057,84.81180206,PN12_SID1061
Zv.0070_P4_P5_P1.2.1.1,83.33793897,83.32171806,PN12_SID1063
Zv.0070_P4_P5_P2.1.1.1,91.33831632,89.3096057,PN12_SID1064
Zv.0050_P1_P1_P1.1.1.1,90.76847889,88.30932749,PN11_SID993
Zv.0050_P1_P1_P1.2.1.1,93.5946317,93.44831998,PN11_SID994
Zv.0050_P1_P2_P1.2.1.1,86.25699129,86.30954867,PN11_SID996
Zv.0050_P1_P3_P1.1.1.1,89.2508608,88.64900508,PN11_SID997
Zv.0050_P1_P5_P1.1.1.1,92.31059421,91.93536627,PN11_SID999
Zv.0050_P1_P5_P1.2.1.1,88.38435802,87.22516518,PN11_SID1000
Zv.0060_P4_P2_P1.1.1.1,93.63324333,89.37750062,PN11_SID1001
Zv.0060_P4_P2_P1.2.1.1,87.78416139,87.21723212,PN11_SID1002
Zv.0060_P4_P3_P1.2.1.1,87.95087024,87.91842004,PN11_SID1003
Zv.0060_P4_P5_P1.1.1.1,93.68006661,92.9200245,PN11_SID1005
Zv.0470_P2_P1_P1.1.1.1,87.04765041,87.10744639,PN16_SID1474
Zv.0470_P2_P2_P1.1.1.1,89.40587587,87.93768875,PN16_SID1476
Zv.0470_P2_P2_P2.1.1.1,85.95933041,86.78702859,PN16_SID1478
Zv.0470_P2_P2_P2.2.1.1,89.380761,88.47357141,PN16_SID1479
Zv.0470_P2_P3_P1.1.1.1,89.51867975,87.85922417,PN16_SID1480
Zv.0470_P2_P3_P1.2.1.1,86.66586356,85.33672015,PN16_SID1481
Zv.0470_P2_P3_P2.1.1.1,90.0557129,88.31422255,PN16_SID1482
Zv.0470_P2_P4_P1.1.1.1,88.23332031,84.97849991,PN16_SID1484
