,DTS,DTA
Zv.0200_P3_P2_P1.1.1.1,86.22223071,85.52800562
Zv.0200_P3_P2_P2.2.1.1,90.10079454,87.53833712
Zv.0200_P3_P4_P1.2.1.1,87.4523677,86.32373379
Zv.0200_P3_P5_P1.1.1.1,90.09856495,88.77241031
Zv.0390_P2_P1_P1.1.1.1,90.10778749,90.51881063
Zv.0390_P2_P1_P1.2.1.1,86.28668296,83.88715623
Zv.0390_P2_P2_P1.1.1.1,88.53928639,88.81516257
Zv.0390_P2_P2_P1.2.1.1,86.23900508,86.33574518
Zv.0390_P2_P3_P1.2.1.1,89.23364471,86.75321346
Zv.0390_P2_P3_P2.1.1.1,91.05699784,90.29823366
Zv.0390_P2_P3_P2.2.1.1,90.49827206,88.401504
Zv.0390_P2_P4_P1.2.1.1,89.64879163,87.84576283
Zv.0290_P2_P1_P1.1.1.1,89.37958761,89.44335512
Zv.0290_P2_P1_P1.2.1.1,88.09391663,88.01341848
Zv.0290_P2_P2_P1.1.1.1,87.36792576,85.65744986
Zv.0290_P2_P2_P1.2.1.1,87.90381184,87.01164393
Zv.0290_P2_P2_P2.1.1.1,97.08132606,96.22749876
Zv.0290_P2_P2_P2.2.1.1,90.99887567,90.15253333
Zv.0290_P2_P3_P1.1.1.1,86.09662011,85.50583397
Zv.0290_P2_P3_P1.2.1.1,88.82806683,88.46698298
Zv.0290_P2_P4_P1.1.1.1,87.02212308,85.37844452
Zv.0290_P2_P4_P1.2.1.1,86.19173389,86.48511551
Zv.0290_P2_P4_P2.1.1.1,90.03399605,88.97408191
Zv.0290_P2_P4_P2.2.1.1,90.84881104,90.03568751
Zv.0120_P2_P2_P1.2.1.1,91.23943545,90.27445786
Zv.0120_P2_P2_P2.2.1.1,84.02749403,84.13043302
Zv.0120_P2_P3_P1.1.1.1,86.8486437,86.88929168
Zv.0120_P2_P4_P1.1.1.1,92.30203758,90.84062738
Zv.0120_P2_P4_P1.2.1.1,89.71933014,89.59516229
Zv.0120_P2_P4_P2.1.1.1,86.79433845,85.9665007
Zv.0120_P2_P5_P1.1.1.1,88.66782779,87.39411101
Zv.0120_P2_P5_P2.1.1.1,90.09858391,88.29463113
Zv.0120_P2_P5_P2.2.1.1,87.13257958,86.30367369
Zv.0140_P3_P1_P2.2.1.1,90.63382937,87.12136155
Zv.0140_P3_P2_P1.1.1.1,89.07944839,89.61724822
Zv.0140_P3_P2_P1.2.1.1,89.26653483,87.74160455
Zv.0140_P3_P2_P2.1.1.1,88.37808075,87.11790401
Zv.0140_P3_P5_P2.1.1.1,93.64694567,94.60307258
Zv.0100_P3_P1_P1.2.1.1,87.8207022,86.8144598
Zv.0100_P3_P1_P2.1.1.1,88.38632906,87.23899076
Zv.0100_P3_P4_P1.2.1.1,88.77988797,88.46305115
Zv.0100_P3_P5_P1.1.1.1,87.24360072,86.62575231
Zv.0080_P2_P1_P1.1.1.1,87.03022479,85.70996982
Zv.0080_P2_P1_P1.2.1.1,88.00101131,89.37172027
Zv.0080_P2_P1_P2.2.1.1,89.53908375,87.64573764
Zv.0080_P2_P3_P1.1.1.1,89.41086515,87.02462849
Zv.0080_P2_P3_P1.2.1.1,87.66177143,88.2545759
Zv.0080_P2_P4_P1.1.1.1,87.65069123,87.47278622
Zv.0080_P2_P4_P2.2.1.1,88.10841095,86.91835915
Zv.0080_P2_P5_P1.3.1.1,89.35412613,87.96705541
Zv.0070_P4_P1_P1.1.1.1,85.32365888,84.23564559
Zv.0070_P4_P2_P1.1.1.1,88.99637222,87.61802426
Zv.0070_P4_P2_P2.1.1.1,87.26359794,86.76446927
Zv.0070_P4_P4_P1.1.1.1,89.4198842,90.54204782
Zv.0070_P4_P4_P2.1.1.1,85.4718057,84.81180206
Zv.0070_P4_P5_P1.2.1.1,83.33793897,83.32171806
Zv.0070_P4_P5_P2.1.1.1,91.33831632,89.3096057
Zv.0050_P1_P1_P1.1.1.1,90.76847889,88.30932749
Zv.0050_P1_P1_P1.2.1.1,93.5946317,93.44831998
Zv.0050_P1_P2_P1.2.1.1,86.25699129,86.30954867
Zv.0050_P1_P3_P1.1.1.1,89.2508608,88.64900508
Zv.0050_P1_P5_P1.1.1.1,92.31059421,91.93536627
Zv.0050_P1_P5_P1.2.1.1,88.38435802,87.22516518
Zv.0060_P4_P2_P1.1.1.1,93.63324333,89.37750062
Zv.0060_P4_P2_P1.2.1.1,87.78416139,87.21723212
Zv.0060_P4_P3_P1.2.1.1,87.95087024,87.91842004
Zv.0060_P4_P5_P1.1.1.1,93.68006661,92.9200245
Zv.0470_P2_P1_P1.1.1.1,87.04765041,87.10744639
Zv.0470_P2_P2_P1.1.1.1,89.40587587,87.93768875
Zv.0470_P2_P2_P2.1.1.1,85.95933041,86.78702859
Zv.0470_P2_P2_P2.2.1.1,89.380761,88.47357141
Zv.0470_P2_P3_P1.1.1.1,89.51867975,87.85922417
Zv.0470_P2_P3_P1.2.1.1,86.66586356,85.33672015
Zv.0470_P2_P3_P2.1.1.1,90.0557129,88.31422255
Zv.0470_P2_P4_P1.1.1.1,88.23332031,84.97849991
Zv.0470_P2_P4_P1.2.1.1,91.79495203,89.14778323
Zv.0470_P2_P5_P1.2.1.1,88.2587951,87.0453408
Zv.0160_P4_P1_P1.1.1.1,88.79242353,86.48411161
