,DTS,DTA
Zv.0160_P4_P2_P1.1.1.1,89.20330982,88.35209251
Zv.0160_P4_P3_P1.2.1.1,88.44930018,88.05926645
Zv.0160_P4_P4_P1.1.1.1,90.02869914,89.22368392
Zv.0160_P4_P5_P1.2.1.1,89.88217154,87.62987494
Zv.0190_P3_P1_P1.2.1.1,93.64589609,90.51125392
Zv.0190_P3_P2_P1.1.1.1,87.80854436,86.56572299
Zv.0190_P3_P2_P1.2.1.1,86.79806719,85.83891203
Zv.0190_P3_P5_P1.2.1.1,95.13796705,91.46105121
Zv.0310_P3_P2_P1.2.1.1,89.03785943,88.5727062
Zv.0310_P3_P2_P1.3.1.1,90.76431587,89.29562881
Zv.0310_P3_P4_P1.1.1.1,90.50989896,87.22606611
Zv.0310_P3_P4_P2.1.1.1,89.18243175,88.06892896
Zv.0310_P3_P4_P2.2.1.1,87.52305592,87.08168479
Zv.0310_P3_P5_P1.2.1.1,89.34586816,87.98459932
Zv.0480_P2_P1_P1.1.1.1,84.6949843,84.63110564
Zv.0480_P2_P1_P1.2.1.1,88.49337176,87.31356423
Zv.0480_P2_P1_P2.1.1.1,90.98998255,90.51894098
Zv.0480_P2_P2_P1.2.1.1,86.08523227,86.28326115
Zv.0480_P3_P1_P1.2.1.1,87.44563557,88.23871318
Zv.0480_P3_P2_P1.1.1.1,87.28556957,85.54203136
Zv.0480_P3_P2_P1.2.1.1,85.75450335,84.33515222
Zv.0480_P3_P3_P1.1.1.1,84.34510178,85.27283882
Zv.0480_P3_P4_P1.2.1.1,90.00971218,87.42415822
Zv.0480_P3_P5_P1.1.1.1,85.57173256,84.85423072
Zv.0480_P3_P5_P1.2.1.1,86.39665961,85.78017234
Zv.0490_P4_P1_P1.1.1.1,85.12899082,85.00611433
Zv.0490_P4_P1_P2.1.1.1,88.54420039,87.14985189
Zv.0490_P4_P1_P2.2.1.1,86.65538477,85.74576117
Zv.0490_P4_P2_P1.1.1.1,88.45569959,87.86930102
Zv.0490_P4_P2_P1.2.1.1,89.46256625,89.14413775
Zv.0490_P4_P2_P2.2.1.1,87.37301119,87.0058413
Zv.0490_P4_P3_P1.1.1.1,90.32524076,89.62761667
Zv.0490_P4_P3_P1.2.1.1,88.86655783,87.9914454
Zv.0490_P4_P4_P1.1.1.1,89.52714499,88.51669628
Zv.0490_P4_P4_P1.2.1.1,86.74896862,85.45911539
Zv.0490_P4_P5_P1.2.1.1,88.06998173,87.25378161
Zv.0370_P3_P1_P1.2.1.1,89.047542,87.7614632
Zv.0370_P3_P2_P1.1.1.1,89.14769576,88.09439189
Zv.0370_P3_P2_P2.2.1.1,88.67912047,87.20080578
Zv.0370_P3_P3_P1.1.1.1,88.0870184,86.88577344
Zv.0370_P3_P3_P1.3.1.1,91.00914468,88.86763911
Zv.0370_P3_P3_P2.1.1.1,88.66952754,87.57613904
Zv.0370_P3_P4_P1.2.1.1,87.85254927,86.28286895
Zv.0270_P2_P2_P1.1.1.1,88.69511947,88.46166164
Zv.0270_P2_P2_P1.2.1.1,87.65926416,85.84583175
Zv.0270_P2_P2_P2.1.1.1,89.19633506,86.46254091
Zv.0270_P2_P2_P2.3.1.1,89.6555631,86.76948993
Zv.0270_P2_P3_P2.1.1.1,87.44015393,86.35404551
Zv.0270_P2_P3_P2.2.1.1,86.959857,86.0539174
Zv.0270_P2_P4_P1.1.1.1,85.46344978,87.5275483
Zv.0270_P2_P4_P1.2.1.1,86.98570657,86.41658326
Zv.0270_P2_P5_P1.1.1.1,89.52965349,88.40562323
Zv.0270_P2_P5_P1.2.1.1,83.36263269,84.00771335
Zv.0270_P2_P5_P2.1.1.1,89.39947044,88.19652185
Zv.0010_P3_P1_P1.1.1.1,90.29842152,90.08049502
Zv.0010_P3_P3_P1.2.1.1,89.21120008,90.05671813
Zv.0010_P3_P4_P1.1.1.1,89.59117877,85.72608719
Zv.0010_P3_P4_P1.2.1.1,89.07903379,88.38754811
Zv.0030_P1_P1_P1.1.1.1,90.20817562,89.15658606
Zv.0030_P1_P1_P1.2.1.1,85.30152786,86.00020919
Zv.0030_P1_P2_P1.2.1.1,90.15051187,89.13847769
Zv.0030_P1_P3_P1.1.1.1,87.98064205,87.2870031
Zv.0030_P1_P5_P1.1.1.1,95.84329168,96.55360499
Zv.0030_P1_P5_P1.2.1.1,92.17444045,91.74635062
Zv.0150_P4_P1_P1.2.1.1,85.42457507,85.09262092
Zv.0150_P4_P4_P2.1.1.1,85.43156497,84.5501572
Zv.0150_P4_P5_P1.1.1.1,86.16381897,85.10362055
Zv.0150_P4_P5_P1.2.1.1,87.74339518,85.39282589
Zv.0110_P1_P2_P1.1.1.1,88.62910727,87.55290005
Zv.0110_P1_P2_P1.2.1.1,88.08242631,89.15253651
Zv.0110_P1_P4_P1.1.1.1,88.01149163,86.90465405
Zv.0110_P1_P4_P1.2.1.1,87.78185405,85.50278475
Zv.0280_P1_P1_P1.1.1.1,87.77521164,86.8887322
Zv.0280_P1_P1_P1.2.1.1,85.41639911,85.82882684
Zv.0280_P1_P2_P1.2.1.1,89.47365026,88.88964711
Zv.0280_P1_P3_P1.2.1.1,89.17392943,87.59856055
Zv.0280_P1_P4_P1.2.1.1,89.06018909,87.19176758
Zv.0280_P1_P5_P1.1.1.1,88.68997922,87.35689346
Zv.0280_P1_P5_P1.2.1.1,89.71258696,89.19150312
Zv.0280_P3_P2_P1.2.1.1,88.60145123,86.2289208
Zv.0280_P3_P3_P1.1.1.1,90.03149465,86.64266435
Zv.0280_P3_P3_P1.2.1.1,89.8485696,88.76284756
Zv.0280_P3_P4_P1.2.1.1,89.89473575,87.20513706
Zv.0280_P3_P5_P1.2.1.1,89.7112625,88.03831715
Zv.0260_P2_P1_P2.1.1.1,93.6229786,90.33622687
Zv.0260_P2_P2_P1.2.1.1,93.82751548,92.01143069
Zv.0260_P2_P2_P2.2.1.1,89.30883793,88.35325511
Zv.0260_P2_P3_P1.1.1.1,89.50025285,88.3262586
Zv.0260_P2_P3_P2.2.1.1,89.46912039,88.34685971
Zv.0260_P2_P4_P1.1.1.1,92.32648063,90.85899047
Zv.0260_P2_P5_P1.2.1.1,87.94354685,86.64862701
Zv.0230_P1_P1_P2.1.1.1,87.66571267,85.12741591
Zv.0230_P1_P2_P1.2.1.1,84.95981093,84.74157657
Zv.0230_P1_P2_P2.2.1.1,85.98375209,85.07392903
Zv.0230_P1_P3_P1.1.1.1,88.05095731,88.04303896
Zv.0230_P1_P3_P1.2.1.1,88.44805768,88.58518618
Zv.0230_P1_P3_P2.2.1.1,88.73209954,87.61495132
Zv.0230_P1_P4_P1.1.1.1,93.55270803,91.85749576
Zv.0230_P1_P5_P1.1.1.1,87.7838451,86.62276361
Zv.0230_P1_P5_P2.2.1.1,87.21553433,85.68506886
Zv.0240_P2_P1_P1.1.1.1,94.50140371,93.13601423
Zv.0240_P2_P2_P2.2.1.1,89.09195608,86.62004303
Zv.0240_P2_P3_P1.1.1.1,84.94696141,84.50769571
Zv.0240_P2_P3_P1.2.1.1,92.01777979,89.3416587
Zv.0240_P2_P3_P2.1.1.1,86.81617822,86.42194
Zv.0240_P2_P3_P2.2.1.1,91.98115502,88.07714579
Zv.0240_P2_P4_P1.2.1.1,89.38895874,89.19550662
Zv.0240_P2_P5_P1.2.1.1,90.63966985,88.8846313
Zv.0300_P1_P1_P1.2.1.1,94.23727559,91.82379958
Zv.0300_P1_P1_P2.1.1.1,88.39616514,87.0381342
Zv.0300_P1_P2_P1.2.1.1,87.18050624,85.985494
Zv.0300_P1_P2_P2.1.1.1,88.38869033,87.12970597
Zv.0300_P1_P3_P1.1.1.1,90.58205575,89.8522748
Zv.0300_P1_P3_P1.2.1.1,87.43369732,87.2837449
Zv.0300_P1_P3_P2.1.1.1,88.04889498,85.92246964
Zv.0300_P1_P4_P1.2.1.1,88.54755692,88.24152119
Zv.0300_P1_P5_P1.1.1.1,88.93826049,86.96838751
Zv.0420_P3_P1_P1.1.1.1,86.80041468,86.00367414
Zv.0420_P3_P2_P1.2.1.1,86.96437352,86.29570781
Zv.0420_P3_P2_P2.1.1.1,91.71327026,90.53172296
Zv.0420_P3_P2_P2.2.1.1,91.94669912,88.03848607
Zv.0420_P3_P3_P1.1.1.1,85.64704978,85.49483296
Zv.0420_P3_P3_P1.2.1.1,86.66341084,85.55686552
Zv.0420_P3_P3_P2.1.1.1,86.53890072,86.68670293
Zv.0420_P3_P3_P2.2.1.1,88.45321128,87.2769212
Zv.0420_P3_P4_P2.1.1.1,86.16093873,85.41897447
Zv.0420_P3_P4_P2.2.1.1,86.36323564,86.10338218
Zv.0430_P3_P1_P1.1.1.1,89.96376059,90.79846044
Zv.0430_P3_P1_P1.2.1.1,94.43143497,93.76417077
Zv.0430_P3_P2_P1.1.1.1,90.38885314,89.95303617
Zv.0430_P3_P2_P1.2.1.1,89.99538635,89.07437519
Zv.0430_P3_P3_P1.1.1.1,87.78041579,86.32095173
Zv.0430_P3_P4_P1.3.1.1,87.96338606,87.61930305
Zv.0440_P4_P2_P1.1.1.1,88.84941204,88.11366831
Zv.0440_P4_P3_P1.2.1.1,101.4742623,97.47847109
Zv.0440_P4_P4_P1.1.1.1,87.03642033,87.13691329
Zv.0440_P4_P5_P1.1.1.1,88.38308371,88.3314262
Zv.0040_P3_P1_P1.1.1.1,85.45214401,85.3202967
Zv.0040_P3_P1_P1.2.1.1,90.16879008,89.88569014
Zv.0040_P3_P2_P1.2.1.1,91.28381741,89.7730472
Zv.0040_P3_P3_P1.1.1.1,90.56348366,89.85097334
Zv.0040_P3_P3_P1.2.1.1,88.83038331,88.77721096
Zv.0040_P3_P4_P1.1.1.1,91.28212337,89.46364801
Zv.0040_P3_P5_P1.1.1.1,88.27108516,87.15223724
Zv.0340_P1_P1_P1.1.1.1,94.28256769,92.77709517
Zv.0340_P1_P1_P1.2.1.1,87.33167868,88.81777739
Zv.0340_P1_P3_P1.2.1.1,90.70123718,90.92846559
Zv.0340_P1_P4_P1.1.1.1,85.25646828,85.31617814
Zv.0340_P1_P4_P1.2.1.1,88.95553028,87.80828455
Zv.0340_P1_P5_P1.1.1.1,87.84854254,86.97793523
Zv.0220_P3_P1_P1.2.1.1,89.5845981,88.42096402
Zv.0220_P3_P1_P2.1.1.1,89.15929359,87.74333664
Zv.0220_P3_P1_P2.2.1.1,91.39784571,89.57299398
Zv.0220_P3_P2_P1.1.1.1,90.46010664,88.50505439
Zv.0220_P3_P2_P1.2.1.1,85.91336987,84.27364828
Zv.0220_P3_P2_P2.1.1.1,90.36643459,88.9356552
Zv.0220_P3_P4_P1.1.1.1,91.86871974,90.12175096
Zv.0220_P3_P4_P1.2.1.1,89.52998382,87.97437385
Zv.0220_P3_P5_P1.2.1.1,89.56351695,88.6100581
Zv.0220_P3_P5_P2.2.1.1,91.90301692,91.07397131
Zv.0210_P1_P2_P1.1.1.1,87.50360038,87.30089418
Zv.0210_P1_P2_P1.2.1.1,95.2092531,93.71350897
Zv.0210_P1_P3_P1.1.1.1,87.56733856,87.62166998
Zv.0210_P1_P3_P1.2.1.1,87.26319311,86.22387592
Zv.0210_P1_P3_P2.1.1.1,89.1496414,88.1910969
Zv.0210_P1_P4_P1.1.1.1,86.07007854,84.6610635
Zv.0210_P1_P4_P1.2.1.1,90.5587913,88.25628485
Zv.0210_P1_P5_P1.1.1.1,88.07958987,88.03815281
Zv.0210_P1_P5_P1.2.1.1,89.56473763,86.62944068
Zv.0410_P2_P3_P2.1.1.1,92.41157048,92.25942542
Zv.0410_P2_P4_P1.2.1.1,93.70226006,92.87323358
Zv.0410_P2_P5_P1.1.1.1,88.16362191,87.67837665
Zx.0140_P2_P1_P1.2.1.1,88.34714771,85.40679356
Zx.0140_P2_P2_P1.2.1.1,88.05011033,87.05433819
Zx.0140_P2_P3_P1.1.1.1,90.02925452,87.79857264
Zx.0150_P2_P1_P1.1.1.1,89.73544656,89.07854943
Zx.0150_P2_P1_P1.2.1.1,88.29570385,88.36847284
Zx.0150_P2_P2_P1.1.1.1,89.24300665,88.57585016
Zx.0150_P2_P4_P1.1.1.1,89.7532051,88.4508974
Zx.0150_P2_P4_P1.2.1.1,88.65612409,88.37806038
Zx.0150_P2_P5_P1.1.1.1,85.40734434,84.02493838
Zx.0220_P2_P5_P1.4.1.1,84.49142788,84.64234259
Zx.0220_P2_P1_P1.2.1.1,92.07983898,91.18719621
Zx.0220_P2_P1_P2.1.1.1,91.45350218,91.12294445
Zx.0220_P2_P1_P2.3.1.1,89.63816956,88.38206778
Zx.0220_P2_P2_P2.3.1.1,92.02888012,92.55355517
Zx.0220_P2_P3_P2.2.1.1,88.17450262,85.54602254
Zx.0220_P2_P4_P1.1.1.1,87.88423322,88.20562613
Zx.0220_P2_P5_P1.1.1.1,90.3752758,88.61645347
Zx.0220_P2_P5_P1.2.1.1,89.33577968,87.68371925
Zx.0130_P1_P1_P1.1.1.1,86.18722444,86.31210242
Zx.0130_P1_P2_P1.1.1.1,83.2324231,83.23635347
Zx.0130_P1_P2_P1.2.1.1,86.76664125,88.22314023
Zx.0130_P1_P3_P1.1.1.1,91.14350064,90.43410628
Zx.0130_P1_P3_P1.2.1.1,86.04920138,85.61400205
Zx.0100_P4_P1_P1.1.1.1,89.88276763,87.54568429
Zx.0100_P4_P2_P1.2.1.1,88.42942962,87.12453882
Zx.0100_P4_P3_P1.2.1.1,91.07017302,87.61128676
Zx.0100_P4_P4_P1.1.1.1,89.27670282,88.90688368
Zx.0100_P4_P4_P1.2.1.1,85.44918119,85.00048056
Zx.0100_P4_P5_P1.2.1.1,85.25793237,85.3081966
Zx.0010_P4_P1_P1.2.1.1,86.51469821,86.10112996
Zx.0010_P4_P3_P1.1.1.1,88.42923469,86.82746297
Zx.0010_P4_P4_P1.1.1.1,87.96276343,87.1268107
Zx.0010_P4_P4_P1.2.1.1,83.98627118,83.27309811
Zx.0010_P4_P4_P2.1.1.1,84.47907607,84.6639847
Zx.0010_P4_P4_P2.4.1.1,88.56671555,87.36372146
Zx.0090_P2_P1_P2.2.1.1,90.91879157,89.46981197
Zx.0090_P2_P2_P1.1.1.1,85.68356215,84.28434587
Zx.0090_P2_P2_P1.2.1.1,87.66877238,86.25563851
Zx.0090_P2_P2_P2.1.1.1,84.50905351,83.77604989
Zx.0090_P2_P3_P1.2.1.1,90.70654262,88.46333813
Zx.0090_P2_P4_P1.1.1.1,87.46449178,85.51343734
Zx.0090_P2_P4_P1.2.1.1,89.07598407,88.16727693
Zx.0090_P2_P5_P1.1.1.1,86.97306545,85.23602065
Zx.0090_P2_P5_P1.2.1.1,89.11817592,87.56096634
Zx.0020_P3_P1_P1.3.1.1,89.62583043,86.63914234
Zx.0020_P3_P1_P2.1.1.1,89.17679105,87.73395995
Zx.0020_P3_P3_P1.2.1.1,89.92661303,89.0575478
Zx.0020_P3_P3_P2.2.1.1,86.72125345,85.54069598
Zx.0020_P3_P4_P2.2.1.1,86.18087894,85.49036227
Zx.0080_P1_P1_P1.1.1.1,91.37269948,87.43520649
Zx.0080_P1_P2_P1.1.1.1,90.2646315,88.99657565
Zx.0080_P1_P3_P1.1.1.1,87.50791547,85.84831894
Zx.0080_P1_P2_P1.4.1.1,89.24223465,87.19255089
Zx.0080_P1_P3_P1.4.1.1,87.56005461,87.24977753
Zx.0190_P2_P5_P1.2.1.1,83.61906385,85.26728915
Zx.0340_P2_P1_P1.1.1.1,90.34978802,88.9286342
Zx.0340_P2_P1_P1.2.1.1,88.65389927,86.77887414
Zx.0340_P2_P1_P2.1.1.1,85.69974855,86.44646928
Zx.0340_P2_P1_P2.2.1.1,88.06780644,87.33067751
Zx.0340_P2_P1_P1.3.1.1,86.02197265,85.62205152
Zx.0340_P2_P1_P2.4.1.1,91.11128497,89.88975637
Zx.0340_P2_P2_P2.1.1.1,85.14973923,84.88556902
Zx.0340_P2_P2_P2.2.1.1,89.14963365,90.65061859
Zx.0340_P2_P4_P1.1.1.1,91.15607693,92.71512202
Zx.0340_P2_P2_P2.4.1.1,83.13669925,84.21700659
Zx.0030_P2_P1_P1.1.1.1,87.68295459,86.03597783
Zx.0030_P2_P1_P2.1.1.1,86.31060932,85.42568188
Zx.0030_P2_P1_P2.2.1.1,86.74785823,86.62468637
Zx.0030_P2_P2_P2.1.1.1,88.62065508,88.31452733
Zx.0030_P2_P2_P2.2.1.1,95.80904701,93.70574001
Zx.0030_P2_P3_P1.2.1.1,88.33948221,85.91197835
Zx.0030_P2_P4_P1.1.1.1,84.72620818,84.10802441
Zx.0030_P2_P4_P1.2.1.1,88.2069357,86.69946471
Zx.0160_P2_P1_P1.2.1.1,83.43936619,83.74377693
Zx.0160_P2_P1_P2.2.1.1,89.81620103,88.79112335
Zx.0160_P2_P2_P1.1.1.1,89.25868799,88.80836772
Zx.0160_P2_P3_P1.1.1.1,85.72850691,84.3180388
Zx.0160_P2_P3_P1.2.1.1,87.2186023,85.31928389
Zx.0160_P2_P3_P2.1.1.1,89.99612529,90.57088257
Zx.0160_P2_P3_P2.2.1.1,89.79156535,87.35486951
Zx.0160_P2_P4_P1.2.1.1,85.00298716,84.94855575
Zx.0160_P2_P5_P1.2.1.1,88.21670079,87.78733305
Zx.0160_P2_P5_P2.1.1.1,88.02825888,87.29616357
Zx.0550_P1_P1_P2.1.1.1,83.41290517,83.41516048
Zx.0550_P1_P2_P1.1.1.1,91.57296266,91.07368734
Zx.0550_P1_P3_P1.1.1.1,92.48059598,91.16840244
Zx.0550_P1_P4_P1.2.1.1,86.51860351,86.37847095
Zx.0550_P1_P5_P1.1.1.1,89.74186695,86.53762602
Zx.0550_P1_P5_P1.2.1.1,86.42584268,87.08607827
Zx.0550_P1_P5_P2.1.1.1,89.04488893,87.31010693
Zx.0550_P1_P5_P2.2.1.1,88.59516414,88.26929966
Zx.0550_P4_P1_P1.1.1.1,89.54583767,85.33136938
Zx.0550_P4_P1_P1.2.1.1,88.66190109,86.58346181
Zx.0550_P4_P1_P2.1.1.1,87.95983389,88.33900572
Zx.0550_P4_P1_P2.2.1.1,89.3033469,88.72659261
Zx.0550_P4_P1_P3.1.1.1,84.721552,85.07161665
Zx.0550_P4_P1_P4.2.1.1,91.35202301,87.84346027
Zx.0550_P4_P1_P4.3.1.1,88.59275862,88.18354552
Zx.0550_P4_P2_P2.3.1.1,87.24422982,85.68557202
Zx.0550_P4_P2_P2.5.1.1,89.88832985,88.54508542
Zx.0550_P4_P2_P3.1.1.1,86.33462819,86.52411585
Zx.0550_P4_P2_P3.3.1.1,87.17731273,86.80146
Zx.0550_P4_P2_P4.1.1.1,87.35252378,86.59887453
Zx.0550_P4_P3_P2.2.1.1,86.48890826,85.34409097
Zx.0550_P4_P3_P2.3.1.1,92.76366071,90.68801149
Zx.0550_P4_P3_P4.1.1.1,86.54203099,86.01170856
Zx.0550_P4_P3_P4.2.1.1,86.71457875,85.74485423
Zx.0550_P4_P3_P5.2.1.1,87.90980427,86.18759361
Zx.0550_P4_P3_P5.3.1.1,86.57847355,86.49248914
Zx.0550_P4_P4_P1.1.1.1,88.96640879,88.82937001
Zx.0550_P4_P4_P3.1.1.1,90.38106881,88.21830671
Zx.0550_P4_P4_P3.2.1.1,85.63912046,85.14228475
Zx.0550_P4_P4_P4.1.1.1,85.28733314,84.41079169
Zx.0550_P4_P4_P4.3.1.1,85.67134828,85.00871584
Zx.0550_P4_P4_P6.1.1.1,86.16346427,85.96766424
Zx.0550_P4_P5_P1.2.1.1,84.1931792,83.38801079
Zx.0550_P4_P5_P1.3.1.1,85.73941422,86.15686929
Zx.0550_P4_P5_P2.1.1.1,82.96418226,82.73080786
Zx.0550_P4_P5_P2.2.1.1,86.48384111,86.80746967
Zx.0550_P4_P5_P3.2.1.1,86.3516743,85.64279718
Zx.0550_P4_P5_P4.1.1.1,87.44081321,87.48491783
Zx.0550_P4_P5_P4.2.1.1,85.0267282,84.95699389
Zx.0540_P3_P1_P1.2.1.1,88.66793094,87.60317263
Zx.0540_P3_P1_P1.3.1.1,84.13145111,84.31511223
Zx.0540_P3_P1_P2.2.1.1,88.56352209,87.15397205
Zx.0540_P3_P1_P3.2.1.1,86.0597799,84.87255205
Zx.0540_P3_P1_P3.3.1.1,85.27022859,84.42065162
Zx.0540_P3_P2_P1.2.1.1,86.79098287,86.29997725
Zx.0540_P3_P2_P1.3.1.1,81.78458382,82.7224213
Zx.0540_P3_P3_P1.1.1.1,87.55153094,87.27219017
Zx.0540_P3_P3_P1.2.1.1,85.73179634,85.5865442
Zx.0540_P3_P3_P2.1.1.1,86.36135982,85.27156338
Zx.0540_P3_P3_P2.3.1.1,87.26068654,87.06789647
Zx.0540_P3_P3_P2.4.1.1,85.71896926,84.92355109
Zx.0540_P3_P3_P3.2.1.1,85.93912775,86.17554554
Zx.0540_P3_P3_P4.1.1.1,85.4854178,84.49724269
Zx.0540_P3_P3_P5.4.1.1,88.42591184,87.39229254
Zx.0540_P3_P4_P2.1.1.1,87.43470132,85.542068
Zx.0540_P3_P4_P3.5.1.1,91.21283293,89.88575901
Zx.0540_P3_P4_P4.3.1.1,88.14813094,86.38974341
Zx.0540_P3_P4_P4.4.1.1,87.14962107,86.59133252
Zx.0540_P3_P4_P5.2.1.1,89.11761667,88.04262563
Zx.0540_P3_P4_P5.3.1.1,89.50936104,87.89607434
Zx.0540_P3_P5_P1.1.1.1,88.64347129,87.27929429
Zx.0540_P3_P5_P1.2.1.1,86.18552583,85.34596847
Zx.0540_P3_P5_P2.2.1.1,89.06024386,86.4757613
Zx.0540_P3_P5_P3.2.1.1,84.88287271,85.44243075
Zx.0540_P3_P5_P6.2.1.1,86.00762167,83.41998216
Zx.0540_P3_P5_P6.4.1.1,86.00945619,84.60647997
Zx.0560_P2_P1_P1.1.1.1,86.07038745,86.21054052
Zx.0560_P2_P1_P3.1.1.1,88.45028155,87.74211128
Zx.0560_P2_P1_P4.1.1.1,88.05667471,86.29659745
Zx.0560_P2_P2_P1.1.1.1,88.33592982,86.74883621
Zx.0560_P2_P2_P2.1.1.1,86.64180784,86.25021481
Zx.0560_P2_P3_P1.2.1.1,86.32974231,84.99323107
Zx.0560_P2_P3_P2.1.1.1,85.53770602,85.09256858
Zx.0560_P2_P3_P3.1.1.1,89.82692038,89.43799461
Zx.0560_P2_P3_P3.2.1.1,92.05640803,92.17142757
Zx.0560_P2_P3_P4.2.1.1,90.84263423,87.68757957
Zx.0560_P2_P3_P5.3.1.1,89.98184614,87.05917977
Zx.0560_P2_P5_P1.1.1.1,89.14367969,87.99296732
