Sequencing_ID	new_genotype
PN10_SID944	Zl.0020_P3_P4_P3.2.1.1
PN10_SID945	Zl.0020_P3_P4_P3.4.1.1
PN10_SID946	Zl.0020_P3_P4_P3.5.1.1
PN10_SID947	Zl.0020_P3_P5_P1.2.1.1
PN10_SID948	Zl.0020_P3_P5_P1.4.1.1
PN10_SID949	Zl.0020_P3_P5_P2.1.1.1
PN10_SID950	Zl.0020_P3_P5_P2.3.1.1
PN10_SID951	Zl.0020_P3_P5_P2.4.1.1
PN10_SID952	Zl.0040_P4_P1_P1.1.1.1
PN10_SID953	Zl.0040_P4_P1_P1.2.1.1
PN10_SID954	Zl.0040_P4_P1_P1.4.1.1
PN10_SID955	Zl.0040_P4_P1_P2.1.1.1
PN10_SID956	Zl.0040_P4_P1_P2.2.1.1
PN10_SID957	Zl.0040_P4_P1_P2.3.1.1
PN10_SID958	Zl.0040_P4_P2_P1.5.1.1
PN10_SID959	Zl.0040_P4_P3_P1.1.1.1
PN10_SID960	Zl.0040_P4_P3_P1.2.1.1
PN11_SID1000	Zv.0050_P1_P5_P1.2.1.1
PN11_SID1001	Zv.0060_P4_P2_P1.1.1.1
PN11_SID1002	Zv.0060_P4_P2_P1.2.1.1
PN11_SID1003	Zv.0060_P4_P3_P1.2.1.1
PN11_SID1004	Zv.0060_P4_P4_P1.2.1.1
PN11_SID1005	Zv.0060_P4_P5_P1.1.1.1
PN11_SID1006	Zv.0060_P4_P5_P1.2.1.1
PN11_SID1007	Zv.0340_P1_P1_P1.1.1.1
PN11_SID1008	Zv.0340_P1_P1_P1.2.1.1
PN11_SID1009	Zv.0340_P1_P2_P1.1.1.1
PN11_SID1010	Zv.0340_P1_P2_P1.2.1.1
PN11_SID1011	Zv.0340_P1_P3_P1.2.1.1
PN11_SID1012	Zv.0340_P1_P4_P1.1.1.1
PN11_SID1013	Zv.0340_P1_P4_P1.2.1.1
PN11_SID1014	Zv.0340_P1_P5_P1.1.1.1
PN11_SID1015	Zv.0340_P2_P2_P1.1.1.1
PN11_SID1016	Zv.0340_P2_P3_P1.1.1.1
PN11_SID1017	Zv.0340_P2_P3_P1.2.1.1
PN11_SID1018	Zv.0340_P2_P4_P1.1.1.1
PN11_SID1019	Zv.0340_P2_P4_P1.2.1.1
PN11_SID1020	Zv.0340_P2_P5_P1.1.1.1
PN11_SID1021	Zv.0010_P3_P1_P1.1.1.1
PN11_SID1022	Zv.0010_P3_P1_P1.2.1.1
PN11_SID1023	Zv.0010_P3_P3_P1.1.1.1
PN11_SID1024	Zv.0010_P3_P3_P1.2.1.1
PN11_SID1025	Zv.0010_P3_P4_P1.1.1.1
PN11_SID1026	Zv.0010_P3_P4_P1.2.1.1
PN11_SID1027	Zv.0010_P3_P5_P1.2.1.1
PN11_SID1028	Zv.0160_P4_P1_P1.1.1.1
PN11_SID1029	Zv.0160_P4_P1_P1.2.1.1
PN11_SID1030	Zv.0160_P4_P2_P1.1.1.1
PN11_SID1031	Zv.0160_P4_P3_P1.2.1.1
PN11_SID1032	Zv.0160_P4_P4_P1.1.1.1
PN11_SID1033	Zv.0160_P4_P4_P1.2.1.1
PN11_SID1034	Zv.0160_P4_P5_P1.1.1.1
PN11_SID1035	Zv.0160_P4_P5_P1.2.1.1
PN11_SID1036	Zv.0190_P3_P1_P1.1.1.1
PN11_SID1037	Zv.0190_P3_P1_P1.2.1.1
PN11_SID1038	Zv.0190_P3_P2_P1.1.1.1
PN11_SID1039	Zv.0190_P3_P2_P1.2.1.1
PN11_SID1040	Zv.0190_P3_P4_P1.1.1.1
PN11_SID1041	Zv.0190_P3_P5_P1.2.1.1
PN11_SID1042	Zv.0370_P3_P1_P1.1.1.1
PN11_SID1043	Zv.0370_P3_P1_P1.2.1.1
PN11_SID1044	Zv.0370_P3_P1_P2.1.1.1
PN11_SID1045	Zv.0370_P3_P2_P1.1.1.1
PN11_SID1046	Zv.0370_P3_P2_P1.2.1.1
PN11_SID1047	Zv.0370_P3_P2_P2.1.1.1
PN11_SID1048	Zv.0370_P3_P2_P2.2.1.1
PN11_SID1049	Zv.0370_P3_P3_P1.1.1.1
PN11_SID1050	Zv.0370_P3_P3_P1.3.1.1
PN11_SID1051	Zv.0370_P3_P3_P2.1.1.1
PN11_SID1052	Zv.0370_P3_P4_P1.1.1.1
PN11_SID1053	Zv.0370_P3_P4_P1.2.1.1
PN11_SID1054	Zv.0070_P4_P1_P1.1.1.1
PN11_SID1055	Zv.0070_P4_P1_P1.2.1.1
PN11_SID1056	Zv.0070_P4_P2_P1.1.1.1
PN11_SID961	Zl.0040_P4_P3_P1.3.1.1
PN11_SID962	Zl.0040_P4_P3_P1.5.1.1
PN11_SID963	Zl.0040_P4_P3_P2.2.1.1
PN11_SID964	Zl.0040_P4_P3_P2.4.1.1
PN11_SID965	Zl.0040_P4_P3_P2.5.1.1
PN11_SID966	Zl.0040_P4_P3_P3.2.1.1
PN11_SID967	Zl.0040_P4_P3_P3.4.1.1
PN11_SID968	Zl.0040_P4_P3_P4.1.1.1
PN11_SID969	Zl.0040_P4_P3_P4.2.1.1
PN11_SID970	Zl.0040_P4_P3_P4.3.1.1
PN11_SID971	Zl.0040_P4_P4_P1.1.1.1
PN11_SID972	Zl.0040_P4_P4_P1.2.1.1
PN11_SID973	Zl.0040_P4_P4_P1.3.1.1
PN11_SID974	Zl.0040_P4_P4_P1.4.1.1
PN11_SID975	Zl.0040_P4_P4_P2.2.1.1
PN11_SID976	Zl.0040_P4_P4_P2.3.1.1
