Sequencing_ID	new_genotype
PN12_SID1091	Zv.0200_P3_P2_P1.1.1.1
PN12_SID1092	Zv.0200_P3_P2_P2.2.1.1
PN12_SID1094	Zv.0200_P3_P4_P1.2.1.1
PN12_SID1096	Zv.0200_P3_P5_P1.1.1.1
PN15_SID1365	Zv.0390_P2_P1_P1.1.1.1
PN15_SID1366	Zv.0390_P2_P1_P1.2.1.1
PN15_SID1367	Zv.0390_P2_P2_P1.1.1.1
PN15_SID1368	Zv.0390_P2_P2_P1.2.1.1
PN15_SID1370	Zv.0390_P2_P3_P1.2.1.1
PN15_SID1371	Zv.0390_P2_P3_P2.1.1.1
PN15_SID1372	Zv.0390_P2_P3_P2.2.1.1
PN15_SID1374	Zv.0390_P2_P4_P1.2.1.1
PN12_SID1137	Zv.0290_P2_P1_P1.1.1.1
PN12_SID1138	Zv.0290_P2_P1_P1.2.1.1
PN12_SID1139	Zv.0290_P2_P2_P1.1.1.1
PN12_SID1140	Zv.0290_P2_P2_P1.2.1.1
PN12_SID1141	Zv.0290_P2_P2_P2.1.1.1
PN12_SID1142	Zv.0290_P2_P2_P2.2.1.1
PN12_SID1143	Zv.0290_P2_P3_P1.1.1.1
PN12_SID1144	Zv.0290_P2_P3_P1.2.1.1
PN12_SID1145	Zv.0290_P2_P4_P1.1.1.1
PN12_SID1146	Zv.0290_P2_P4_P1.2.1.1
PN12_SID1147	Zv.0290_P2_P4_P2.1.1.1
PN12_SID1148	Zv.0290_P2_P4_P2.2.1.1
PN12_SID1109	Zv.0120_P2_P2_P1.2.1.1
PN12_SID1110	Zv.0120_P2_P2_P2.2.1.1
PN12_SID1111	Zv.0120_P2_P3_P1.1.1.1
PN12_SID1113	Zv.0120_P2_P4_P1.1.1.1
PN12_SID1114	Zv.0120_P2_P4_P1.2.1.1
PN12_SID1115	Zv.0120_P2_P4_P2.1.1.1
PN12_SID1116	Zv.0120_P2_P5_P1.1.1.1
PN12_SID1118	Zv.0120_P2_P5_P2.1.1.1
PN12_SID1119	Zv.0120_P2_P5_P2.2.1.1
PN13_SID1191	Zv.0140_P3_P1_P2.2.1.1
PN13_SID1192	Zv.0140_P3_P2_P1.1.1.1
PN13_SID1193	Zv.0140_P3_P2_P1.2.1.1
PN13_SID1194	Zv.0140_P3_P2_P2.1.1.1
PN13_SID1197	Zv.0140_P3_P5_P2.1.1.1
PN15_SID1406	Zv.0100_P3_P1_P1.2.1.1
PN15_SID1407	Zv.0100_P3_P1_P2.1.1.1
PN15_SID1410	Zv.0100_P3_P4_P1.2.1.1
PN15_SID1411	Zv.0100_P3_P5_P1.1.1.1
PN12_SID1097	Zv.0080_P2_P1_P1.1.1.1
PN12_SID1098	Zv.0080_P2_P1_P1.2.1.1
PN12_SID1100	Zv.0080_P2_P1_P2.2.1.1
PN12_SID1101	Zv.0080_P2_P3_P1.1.1.1
PN12_SID1102	Zv.0080_P2_P3_P1.2.1.1
PN12_SID1103	Zv.0080_P2_P4_P1.1.1.1
PN12_SID1106	Zv.0080_P2_P4_P2.2.1.1
PN12_SID1108	Zv.0080_P2_P5_P1.3.1.1
PN11_SID1054	Zv.0070_P4_P1_P1.1.1.1
PN11_SID1056	Zv.0070_P4_P2_P1.1.1.1
PN12_SID1058	Zv.0070_P4_P2_P2.1.1.1
PN12_SID1059	Zv.0070_P4_P4_P1.1.1.1
PN12_SID1061	Zv.0070_P4_P4_P2.1.1.1
PN12_SID1063	Zv.0070_P4_P5_P1.2.1.1
PN12_SID1064	Zv.0070_P4_P5_P2.1.1.1
PN11_SID993	Zv.0050_P1_P1_P1.1.1.1
PN11_SID994	Zv.0050_P1_P1_P1.2.1.1
PN11_SID996	Zv.0050_P1_P2_P1.2.1.1
PN11_SID997	Zv.0050_P1_P3_P1.1.1.1
PN11_SID999	Zv.0050_P1_P5_P1.1.1.1
PN11_SID1000	Zv.0050_P1_P5_P1.2.1.1
PN11_SID1001	Zv.0060_P4_P2_P1.1.1.1
PN11_SID1002	Zv.0060_P4_P2_P1.2.1.1
PN11_SID1003	Zv.0060_P4_P3_P1.2.1.1
PN11_SID1005	Zv.0060_P4_P5_P1.1.1.1
PN16_SID1474	Zv.0470_P2_P1_P1.1.1.1
PN16_SID1476	Zv.0470_P2_P2_P1.1.1.1
PN16_SID1478	Zv.0470_P2_P2_P2.1.1.1
PN16_SID1479	Zv.0470_P2_P2_P2.2.1.1
PN16_SID1480	Zv.0470_P2_P3_P1.1.1.1
PN16_SID1481	Zv.0470_P2_P3_P1.2.1.1
PN16_SID1482	Zv.0470_P2_P3_P2.1.1.1
PN16_SID1484	Zv.0470_P2_P4_P1.1.1.1
PN16_SID1485	Zv.0470_P2_P4_P1.2.1.1
PN16_SID1487	Zv.0470_P2_P5_P1.2.1.1
PN11_SID1028	Zv.0160_P4_P1_P1.1.1.1
PN11_SID1030	Zv.0160_P4_P2_P1.1.1.1
PN11_SID1031	Zv.0160_P4_P3_P1.2.1.1
PN11_SID1032	Zv.0160_P4_P4_P1.1.1.1
PN11_SID1035	Zv.0160_P4_P5_P1.2.1.1
PN11_SID1037	Zv.0190_P3_P1_P1.2.1.1
PN11_SID1038	Zv.0190_P3_P2_P1.1.1.1
PN11_SID1039	Zv.0190_P3_P2_P1.2.1.1
PN11_SID1041	Zv.0190_P3_P5_P1.2.1.1
PN15_SID1356	Zv.0310_P3_P2_P1.2.1.1
PN15_SID1357	Zv.0310_P3_P2_P1.3.1.1
PN15_SID1359	Zv.0310_P3_P4_P1.1.1.1
PN15_SID1361	Zv.0310_P3_P4_P2.1.1.1
PN15_SID1362	Zv.0310_P3_P4_P2.2.1.1
PN15_SID1363	Zv.0310_P3_P5_P1.2.1.1
PN16_SID1454	Zv.0480_P2_P1_P1.1.1.1
PN16_SID1455	Zv.0480_P2_P1_P1.2.1.1
PN16_SID1456	Zv.0480_P2_P1_P2.1.1.1
PN16_SID1458	Zv.0480_P2_P2_P1.2.1.1
PN16_SID1465	Zv.0480_P3_P1_P1.2.1.1
PN16_SID1466	Zv.0480_P3_P2_P1.1.1.1
PN16_SID1467	Zv.0480_P3_P2_P1.2.1.1
PN16_SID1468	Zv.0480_P3_P3_P1.1.1.1
PN16_SID1471	Zv.0480_P3_P4_P1.2.1.1
PN16_SID1472	Zv.0480_P3_P5_P1.1.1.1
PN16_SID1473	Zv.0480_P3_P5_P1.2.1.1
PN15_SID1438	Zv.0490_P4_P1_P1.1.1.1
PN15_SID1440	Zv.0490_P4_P1_P2.1.1.1
PN16_SID1441	Zv.0490_P4_P1_P2.2.1.1
PN16_SID1442	Zv.0490_P4_P2_P1.1.1.1
PN16_SID1443	Zv.0490_P4_P2_P1.2.1.1
PN16_SID1445	Zv.0490_P4_P2_P2.2.1.1
PN16_SID1446	Zv.0490_P4_P3_P1.1.1.1
PN16_SID1447	Zv.0490_P4_P3_P1.2.1.1
PN16_SID1450	Zv.0490_P4_P4_P1.1.1.1
PN16_SID1451	Zv.0490_P4_P4_P1.2.1.1
PN16_SID1453	Zv.0490_P4_P5_P1.2.1.1
PN11_SID1043	Zv.0370_P3_P1_P1.2.1.1
PN11_SID1045	Zv.0370_P3_P2_P1.1.1.1
PN11_SID1048	Zv.0370_P3_P2_P2.2.1.1
PN11_SID1049	Zv.0370_P3_P3_P1.1.1.1
PN11_SID1050	Zv.0370_P3_P3_P1.3.1.1
PN11_SID1051	Zv.0370_P3_P3_P2.1.1.1
PN11_SID1053	Zv.0370_P3_P4_P1.2.1.1
PN15_SID1413	Zv.0270_P2_P2_P1.1.1.1
PN15_SID1414	Zv.0270_P2_P2_P1.2.1.1
PN15_SID1415	Zv.0270_P2_P2_P2.1.1.1
PN15_SID1416	Zv.0270_P2_P2_P2.3.1.1
PN15_SID1417	Zv.0270_P2_P3_P2.1.1.1
PN15_SID1418	Zv.0270_P2_P3_P2.2.1.1
